Traj,wmTraj,month,depth,mean_N
2,Atlantic,2,225,12.630287064446343
2,Atlantic,2,250,12.558550092909071
2,Atlantic,2,275,12.604279941982693
2,Atlantic,2,300,12.570480134752062
2,Atlantic,2,325,12.582247734069824
2,Atlantic,2,350,12.615286721123589
2,Atlantic,2,375,12.682260513305664
2,Atlantic,2,400,12.882034619649252
2,Atlantic,2,425,12.919967439439562
2,Atlantic,2,450,13.090099546644423
2,Atlantic,2,475,13.22180249955919
2,Atlantic,2,500,13.240292019314236
2,Atlantic,2,550,13.687633832295736
2,Atlantic,2,600,13.354962031046549
2,Atlantic,2,650,13.631478203667534
2,Atlantic,2,700,13.942805290222168
2,Atlantic,2,750,13.487519900004068
2,Atlantic,2,800,14.276991420321995
2,Atlantic,3,0,11.083544201321072
2,Atlantic,3,5,11.081317371792263
2,Atlantic,3,10,11.319171163770887
2,Atlantic,3,15,11.505865097045898
2,Atlantic,3,20,11.448367330763075
2,Atlantic,3,25,11.594316376580132
2,Atlantic,3,30,11.580455568101671
2,Atlantic,3,35,11.6306119494968
2,Atlantic,3,40,11.630349053276909
2,Atlantic,3,45,11.653406884935167
2,Atlantic,3,50,11.672651184929741
2,Atlantic,3,55,11.684527609083387
2,Atlantic,3,60,11.731589211357964
2,Atlantic,3,65,11.762164857652452
2,Atlantic,3,70,11.786425802442762
2,Atlantic,3,75,11.796257866753471
2,Atlantic,3,80,11.802148713005913
2,Atlantic,3,85,11.812069045172798
2,Atlantic,3,90,11.863160557217068
2,Atlantic,3,95,11.906581984625923
2,Atlantic,3,100,12.356064054701063
2,Atlantic,3,125,12.391887664794922
2,Atlantic,3,150,12.37466918097602
2,Atlantic,3,175,12.434549649556478
2,Atlantic,3,200,12.375356992085775
2,Atlantic,3,225,12.45271216498481
2,Atlantic,3,250,12.331280178493923
2,Atlantic,3,275,12.366168763902452
2,Atlantic,3,300,12.53940380944146
2,Atlantic,3,325,12.521430333455404
2,Atlantic,3,350,12.582484669155544
2,Atlantic,3,375,12.615678469340006
2,Atlantic,3,400,12.661892890930176
2,Atlantic,3,425,12.663924111260307
2,Atlantic,3,450,12.77578035990397
2,Atlantic,3,475,12.713975588480631
2,Atlantic,3,500,12.615574730767143
2,Atlantic,3,550,12.822431988186306
2,Atlantic,3,600,13.096991962856716
2,Atlantic,3,650,13.450968000623915
2,Atlantic,3,700,13.614661110772026
2,Atlantic,3,750,13.867167790730795
2,Atlantic,3,800,13.969755596584744
2,Atlantic,4,0,11.030253092447916
2,Atlantic,4,5,10.969818433125814
2,Atlantic,4,10,11.005135854085287
2,Atlantic,4,15,11.067338307698568
2,Atlantic,4,20,11.143016497294107
2,Atlantic,4,25,11.170456250508627
2,Atlantic,4,30,11.205539385477701
2,Atlantic,4,35,11.220295270284018
2,Atlantic,4,40,11.306426684061686
2,Atlantic,4,45,11.335845629374186
2,Atlantic,4,50,11.376777648925781
2,Atlantic,4,55,11.41647974650065
2,Atlantic,4,60,11.399033546447754
2,Atlantic,4,65,11.426034291585287
2,Atlantic,4,70,11.532939592997232
2,Atlantic,4,75,11.538887659708658
2,Atlantic,4,80,11.623830795288086
2,Atlantic,4,85,11.628866195678711
2,Atlantic,4,90,11.654644966125488
2,Atlantic,4,95,11.736083030700684
2,Atlantic,4,100,11.73705005645752
2,Atlantic,4,125,11.88395627339681
2,Atlantic,4,150,12.080969174702963
2,Atlantic,4,175,11.96688969930013
2,Atlantic,4,200,12.288748741149902
2,Atlantic,4,225,12.28842544555664
2,Atlantic,4,250,12.28423023223877
2,Atlantic,4,275,12.326617240905762
2,Atlantic,4,300,12.456638971964518
2,Atlantic,4,325,12.46231460571289
